conductor,video_id,year_title,year_manual,title,year_desc,year_desc_conf,year_desc_note
Abbado,0T7eMctuJLQ,,,Dies Irae - Mozart - Requiem - Claudio Abbado,1999,context,"ish Radio Choir singer Recorded at Salzburger Dom Cathedral, Salzburg, Austria i"
Abbado,oaDl9js_OR4,,,Dvořák: Symphony No. 8 / Abbado - Berliner Philharmoniker,1999,context,"erliner Philharmoniker / Recorded at the Berlin Philharmonie, 31 December 1999. "
Abbado,I6OjCv5lG6s,,,Friedrich Gulda & Claudio Abbado - Mozart: Piano Concerto K488,1986,context,"BBADO, conductor UNICEF Concert at the Konzerthaus Wien - 11 December 1986"
Abbado,p_4bvVETpQM,,,From Toscanini to Abbado - The History of the Lucerne Festival Orchestra,,,
Abbado,RbLlA4Ee4hU,,,"Gustav Mahler - Symphony No. 1, Titan - 2. Kräftig bewegt -  Claudio Abbado",2009,context,"audio Abbado conductor Recorded at Lucerne Festival 2009, KKL - Lucerne Festival"
Abbado,4XbHLFkg_Mw,,,"Gustav Mahler: Symphony No. 1 (Lucerne Festival Orchestra, Abbado)",2009,context,"tival Orchestra, Abbado) Recorded live at the Lucerne Festival, Summer 2009 Conc"
Abbado,7howhcXJFq4,,,"JOSÉ CARRERAS  ""A GALA CONCERT"" | Claudio Abbado | Hector Berlioz, Richard Wagner | Rodney Greenberg",1987,context,Carreras’ return to the concert platform after his battle against leukaemia in 1
Abbado,d-VkDduh3ZQ,,,Just How GOOD Was Claudio Abbado Actually?,,,
Abbado,KcnBPqOddSM,,,Berliner Philharmoniker & Claudio Abbado – Mozart: Requiem In D Minor: Sequentia: Lacrimosa,1999,context,"Sequentia: Lacrimosa On July 16, 1999, the tenth anniversary o"
Abbado,t3VTlfeTWMY,2007,,Lucerne 2007: Abbado conducts Mahler 3rd Symphony,2007,context,hony This Claudio Abbado recording captures a very special night at the 2007 Luc
Abbado,GmX0UbZlqZk,2011,,Lucerne Festival 2011: Anton Bruckner - Symphony No. 5 | Claudio Abbado,,,
Abbado,3pegLWxSBR8,,,MAURIZIO POLLINI - Beethoven Piano Concerto # 5 (Emperor) / ABBADO /Sinfonica di Roma,,,
Abbado,TzJyIWxjX9o,2009,,Mahler - Rückert-Lieder : Ich bin der Welt abhanden gekommen | Claudio Abbado | Lucerne 2009,2009,context,"or Anglais: Emma Schied Recorded August 2009 in Lucerne, Switzerland."
Abbado,YnfhInZLmUQ,,,Mahler - Symphony No 4 - Abbado,,,
Abbado,3nihShVyqVE,1998,,Mahler - Symphony No. 3: Adagio - Claudio Abbado & BPO (1998),1998,weak,o - Claudio Abbado & BPO (1998) Description
Abbado,lmJfL8FUThQ,,,Mahler - Symphony No. 5 in C sharp minor | Discovering Masterpieces of Classical Music (HD): Abbado,2004,context,ntertaining audio-visual concert at Concert Hall of Culture and Convention Centr
Abbado,vOvXhyldUko,2004,,Mahler - Symphony No.5 - Abbado - Lucerne Festival Orchestra 2004,,,
Abbado,a7VdBXeRhdA,,,Mahler Symphony No1 4M  Abbado Lucerne Festival Orchestra,,,
Abbado,QVoviGYThxw,,,Mahler: Adagio from Symphony No. 10 / Abbado · Berliner Philharmoniker,2011,context,"erliner Philharmoniker / Recorded at the Berlin Philharmonie, 15 May 2011 The Be"
Abbado,T4Zxjk7eYS4,1989,,Mahler: Symphony No. 1 / Abbado - Berliner Philharmoniker (1989),1989,context,"erliner Philharmoniker / Recorded at the Berlin Philharmonie, 16 December 1989 T"
Abbado,rwDJW-34pdE,,,Maurizio Pollini - Claudio Abbado - Beethoven: Piano Concerto No.4 (Lucerne Festival Orchestra),2004,context,"AUDIO ABBADO, conductor Filmed at Lucerne Festival, 18 & 19 August 2004."
Abbado,8AXxjU9mlyQ,,,Mendelssohn: Symphony No. 2 / Abbado - Berliner Philharmoniker,2002,context,"nnefors, chorus master / Recorded at the Berlin Philharmonie, 9 February 2002 Th"
Abbado,0Oo4z37OUEI,,,Mendelssohn: Wedding March / Abbado · Berliner Philharmoniker,2013,context,"erliner Philharmoniker / Recorded at the Berlin Philharmonie, 19 May 2013 The Be"
Abbado,-nk7jFEKCHE,,,"Mozart - Symphony No. 35 in D Major, K. 385, ""Haffner"" (Berliner Philharmoniker, Claudio Abbado)",1991,context,"moniker, Claudio Abbado) Live from the Smetana Hall Prague, 1991 Claudio Abbado "
Abbado,AUnKeRz5n0c,,,"Mozart - Symphony No. 35 ""Haffner"" | Lucerne Festival Orchestra, Claudio Abbado",,,
Abbado,X60OGd4co-Y,,,Mozart: Laudate Dominum / Harnisch - Abbado - Berliner Philharmoniker,1999,context,"for Herbert von Karajan, recorded at Salzburg Cathedral, 16 July 1999 The Berlin"
Abbado,9U3tja1CmCw,,,"Mozart: Symphony No. 29 in A Major, K. 201 (Berliner Philharmoniker, Claudio Abbado)",1991,context,"moniker, Claudio Abbado) Live from the Smetana Hall Prague, 1991 Claudio Abbado "
Abbado,AiwhbZf3oZM,1989,,Schubert Symphony No 8 B minor Unfinished Claudio Abbado Ferrara 1989,,,
Abbado,k7CasxTo-Go,,,Schubert Symphony No 9 C major The Great Claudio Abbado Chamber Orchestra of,,,
Abbado,QydpBLUyx6c,,,"Simón Bolívar Youth Orchestra, Claudio Abbado: Tchaikovsky - Symphony No. 6",2010,context,"first joint audiovisual concert recording from 2010. In this video, an impas"
Abbado,n-yWCUgTMMY,1998,,Strauss: Tod und Verklärung / Claudio Abbado - Gustav Mahler Youth Orchestra (1998),1998,context,"apuçon, concertmaster Recorded live in Salzburg, 1998"
Abbado,-E6oeFzIRU8,1998,,"Strauss: Vier letzte Lieder / Claudio Abbado, Melanie Diener - Gustav Mahler Youth Orchestra (1998)",1998,context,"Capuçon, concertmaster Recorded live in Salzburg, 1998 0:00 ""Frühling"" 3:38 ""S"
Abbado,AF1YYXDHkzc,,,"Sylvia McNair, Claudio Abbado, Martha Argerich, BPO : Mozart Concert Aria K.505",,,
Abbado,81AFdWXLNCU,2009,,The last 5 minutes of Abbado's Mahler 9th at 2009 Lucerne Festival,,,
Abbado,zJXxL8xE09c,,,"Upscaled LOBGESANG (Mendelssohn) Poschner, Sima, Ford - Abbado - Tokyo 1XI89",,,
Abbado,4QBeLJYmYkE,1998,,"Wagner: ""Tannhäuser"" Overture / Claudio Abbado - Gustav Mahler Youth Orchestra (1998)",1998,context,"v Mahler Youth Orchestra Recorded live in Salzburg, 1998"
Abbado,1Jw6wpNLM9E,,,Wolfgang Amadeus Mozart - Requiem - Full Concert - Claudio Abbado,,,
Abbado,xSK0on-c0M0,,,"Yuja Wang & Claudio Abbado: Prokofiev - Piano Concerto No. 3 in C major, Op. 26: I. Andante Allegro",,,
Abbado,P13jkI_KjPE,,,"[EuroArts 2053279]  ABBADO, Claudio: Hearing the Silence",,,
Abbado,-K8gmmKd5HM,,,[EuroArts 2053469] ABBADO IN LUCERNE,2003,context,"rchestra in this Debussy concert in 2003, realised a dream come w"
Abbado,iwZF0JIRFqA,,,tchaikovsky   eugene onegin; polonaise   berliner phil ¬claudio abbado,,,
Bernstein,rvdEjg-EDTk,,,Arrau Bernstein Beethoven Piano Concerto No. 4,,,
Bernstein,a5P_xKg_1O0,1990,,Beeth_7_Bernstein_BostonSymphony_1990[a5P_xKg_1O0],1990,context,"eonard Bernstein's final concert which took place on August 19th, 1990 at Tangle"
Bernstein,rO8MnwcvSVk,,,Beethoven   Symphony no  6  /  Leonard Bernstein,,,
Bernstein,hp-GI9jhxAY,1989,,Beethoven - Piano Concerto No. 4  - Bernstein / Zimerman - Musikverein Vienna 1989 - REMASTERED,1989,context,"Philharmonic Orchestra Recording: Vienna, Musikverein, Großer Saal, September 19"
Bernstein,m0evC5OMofs,1989,,Beethoven - Piano Concerto No. 5  - Bernstein / Zimerman - Musikverein Vienna 1989 - REMASTERED,1989,context,"Philharmonic Orchestra Recording: Vienna, Musikverein, Großer Saal, September 19"
Bernstein,40vp0Veqglg,1978,,"Beethoven - Symphony No. 6 in F Major, Op. 68 (Leonard Bernstein, 1978) Video with Hi-Res Audio",,,
Bernstein,CplmVMyPH80,,,Beethoven Symphony No 1 C major Leonard Bernstein Wiener Philarmoniker,,,
Bernstein,RkP33esCi5g,,,Beethoven Symphony No 3 in E♭ „Eroica“ Leonard Bernstein Wiener Philharmoniker,,,
Bernstein,r88EnGeiJrE,,,Beethoven symphony no 7 / leonard bernstein,,,
Bernstein,dRhwyzJABvI,,,Bernstein Beethoven Leonore Overture Nº3,,,
Bernstein,KUnnEH7yxyc,1959,,Bernstein Thanks Shostakovich In Moscow (1959),1959,weak,s Shostakovich In Moscow (1959) This YouTube channel is
Bernstein,srb2EyvTSGw,,,Bernstein : Symphonic Dances from West Side Story,,,
Bernstein,teJrKn_Na6w,,,Brahms - Academic Festival Overture (Excerpt) | Leonard Bernstein - Vienna Philharmonic,1981,context,"rd Bernstein, conductor Recorded live at the Musikverein, Vienna, October 3-11, "
Bernstein,teJrKn_Na6w,,,Brahms - Academic Festival Overture (Excerpt) | Leonard Bernstein - Vienna Philharmonic,1981,context,"rd Bernstein, conductor Recorded live at the Musikverein, Vienna, October 3-11, "
Bernstein,422-yb8TXj8,,,Candide Overture: Leonard Bernstein conducting,1989,context,"phony Orchestra (London, December 13, 1989)."
Bernstein,EvnRC7tSX50,,,Debussy Prélude à l'après-midi d'un faune - Leonard Bernstein,,,
Bernstein,Bj6KLv7kv2Q,,,Gustav Mahler - Adagietto | Leonard Bernstein (4K),,,
Bernstein,_MjEp_SAfS0,1974,,"Gustav Mahler - Symphony No. 1 ""Titan"" - Leonard Bernstein - Konzerthaus Vienna - 1974 - REMASTERED",1974,context,"Philharmonic Orchestra Recording: Vienna, Konzerthaus, October 1974 Remastered: "
Bernstein,bXEldU1UC70,,,"Haydn - Symphony No. 88 - Leonard Bernstein, Vienna Philharmonic",,,
Bernstein,56qZblncQrs,,,Haydn Symphony No 88 4th Leonard Bernstein,,,
Bernstein,IS8FO6DEwfU,1966,,Leonard Bernstein conduct a legendary performance of Shostakovich's Fifth with the LSO (1966),1966,context,d Bernstein — Conductor Concert recorded in 1966 © Idéale Audience - BBC
Bernstein,YclhJEiy_TA,,,Leonard Bernstein conducts Anton Bruckner's Symphony No.9,,,
Bernstein,02jscWEtHZI,1989,,Leonard Bernstein: Beethoven’s Ninth Symphony in East Berlin 1989 (excerpt) | Carnegie Hall+,,,
Bernstein,p8bZ7vm4_6M,,,MOZART  Symphony No 40 in G minor KV550 LEONARD BERNSTEIN,,,
Bernstein,MFkLJzd7CH8,,,Mahler Symphony No  5 in C Sharp Minor  - Bernstein (4k),,,
Bernstein,9KSESLJ0LWA,,,Mahler Symphony no. 5 - Vienna Philharmonic Orchestra - Leonard Bernstein,,,
Bernstein,m3wFdajeAwU,1988,,Mozart REQUIEM KV 626  Leonard Bernstein 1988,,,
Bernstein,NK8-Zg-8JYM,,,Mozart ~  Ave Verum Corpus ~ Leonard Bernstein,,,
Bernstein,ljG5OUNEkMY,,,"P. TCHAIKOVSKY - Symphony No.5, e moll, Op.64 [Boston Symphony Orchestra, Leonard Bernstein]",,,
Bernstein,AfakIg9E_ao,,,Shostakovich: Symphony No. 9 - Bernstein conducts,,,
Bernstein,iYgirjU-9UE,1966,,Shostakovich: Symphony No.5 - Bernstein/LSO (1966),1966,weak,ony No.5 - Bernstein/LSO (1966) Complete performance by
Bernstein,VmWrfN0hQSQ,1959,,Shostakovich: Symphony No.7 “Leningrad” - Bernstein (Moscow 1959),,,
Bernstein,1LzBXe9--oM,,,Verdi: Requiem - II. Dies Irae / Bernstein · London Symphony Orchestra and Chorus,,,
Bernstein,to_aVqJjzZE,,,beethoven symphony no. 4 conducted by leonard bernstein,,,
Bernstein,xjeZVyqSAFs,,,beethoven symphony no. 5 conducted by leonard bernstein,,,
Dudamel,lVxN9jqnrx0,,,Beethoven Symphony No 9 in D minor „An die Freude“ „Ode to Joy“ Gustavo Dudamel,,,
Dudamel,wCe_j3tAudM,,,Beethoven Symphony No. 6 (Movement I) with Gustavo Dudamel and the LA Phil,,,
Dudamel,3-E0GnKMNLU,,,Bolero | Joseph Maurice Ravel by the Vienna Philharmonic conducted by Gustavo Dudamel,,,
Dudamel,mNcQGsF2uIw,,,"Brahms: Piano Concerto No. 1 | Daniel Barenboim, Gustavo Dudamel & the Staatskapelle Berlin",,,
Dudamel,VghJWGQ2IU0,,,"Brahms: Piano Concerto No. 2 | Daniel Barenboim, Gustavo Dudamel & the Staatskapelle Berlin",,,
Dudamel,dmdv17avTGk,,,CARMINA BURANA CARL ORFF POR GUSTAVO DUDAMEL ORQUESTA SINFONICA Y CORO DE JOVENES LATINOAMERICANOS,,,
Dudamel,wuve8eKeqKA,,,"Dudamel - Mahler 8 ""Symphony of a Thousand"" (Live From Caracas) - Part 1: Veni Creator Spiritus",,,
Dudamel,lFXXa6DOUm8,,,Gustavo DUDAMEL & Herbie HANCOCK & George GERSHWIN : Rhapsody in Blue,,,
Dudamel,tjff572AvCg,,,Gustavo Dudamel  Beethoven 5   1st movement 베토벤,,,
Dudamel,jVDofBFtvwA,,,Gustavo Dudamel  Dvorak   Symphony no 9   4th movement   Allegro con fuoco,,,
Dudamel,rJWuV1iCSUk,,,Gustavo Dudamel - Beethoven: Symphony No. 4 - Mvmt 1 (Orquesta Sinfónica Simón Bolívar),,,
Dudamel,SSypujlLlNI,,,Gustavo Dudamel - Beethoven: Symphony No. 5 - Mvmt 1 (Orquesta Sinfónica Simón Bolívar),,,
Dudamel,SSypujlLlNI,,,Gustavo Dudamel - Beethoven: Symphony No. 5 - Mvmt 1 (Orquesta Sinfónica Simón Bolívar),,,
Dudamel,LT0lf8CFfzI,,,Gustavo Dudamel - Beethoven: Symphony No. 5 - Mvmt 3 & 4 (Orquesta Sinfónica Simón Bolívar),,,
Dudamel,vFPxYVYDmow,,,Gustavo Dudamel - Beethoven: Symphony No. 6 - Mvmt 1 (Orquesta Sinfónica Simón Bolívar),,,
Dudamel,cXR6ubka5RE,,,Gustavo Dudamel - Beethoven: Symphony No. 7 - Mvmt 1 (Orquesta Sinfónica Simón Bolívar),,,
Dudamel,ESilvOS2O9k,,,Gustavo Dudamel - Beethoven: Symphony No. 7 - Mvmt 2 (Orquesta Sinfónica Simón Bolívar),,,
Dudamel,XDIYqv4gUQ4,,,Gustavo Dudamel - Beethoven: Symphony No. 9 - Mvmt 4 (Orquesta Sinfónica Simón Bolívar),,,
Dudamel,NYvEvP2cmdk,,,Gustavo Dudamel - Bernstein: 'Mambo' from West Side Story (with Simón Bolívar SO),,,
Dudamel,-HLDqBUxcD4,,,"Gustavo Dudamel - Bernstein: Symphonic Dances (Orquesta Sinfónica Simón Bolívar, BBC Proms)",,,
Dudamel,-8wS-1Eqonk,,,"Gustavo Dudamel - Bernstein: West Side Story - Mambo (Sinfónica Simón Bolívar Orchestra, BBC Proms)",,,
Dudamel,oLfWPHZzJdQ,,,"Gustavo Dudamel - Gutiérrez: Alma Llanera - Encore (Orquesta Sinfónica Simón Bolívar, BBC Proms)",,,
Dudamel,ynCEvFaJCZg,,,Gustavo Dudamel - Hungarian Dance No. 5 - Brahms,,,
Dudamel,U2_yqZ4_0Po,,,"Gustavo Dudamel - LA Phil SOUND/STAGE: Mahler, Adagietto from Symphony No. 5",,,
Dudamel,gv12AQrW9ws,,,"Gustavo Dudamel - Mahler: Symphony No. 8: ""Alles Vergängliche""",,,
Dudamel,GkwxtnjuA3s,,,"Gustavo Dudamel - Moncayo: Huapango (Orquesta Sinfónica Simón Bolívar, BBC Proms)",,,
Dudamel,1AWvFxfsFqY,,,Gustavo Dudamel - Notre-Dame de Paris Reopening - Pie Jesu (Ariane Delacroix),,,
Dudamel,yeckyz-GJJk,,,Gustavo Dudamel - Notre-Dame de Paris Reopening - Saint-Saëns Symphony No. 3 (Olivier Latry),,,
Dudamel,UpPip-YjzVc,2007,,Gustavo Dudamel - Shostakovich Symphony No. 10 (BBC Proms 2007),,,
Dudamel,TpCiGyRlEiU,,,Gustavo Dudamel Symphonie N 5 Ludwig van Beethoven ut mineur op 67   YouTube,,,
Dudamel,ddYhQoFxs4Y,,,Gustavo Dudamel conducts Bizet's Carmen at his inaugural concert at the Opéra de Paris,,,
Dudamel,ddYhQoFxs4Y,,,Gustavo Dudamel conducts Bizet's Carmen at his inaugural concert at the Opéra de Paris,,,
Dudamel,h9vFE0jazXI,,,Gustavo Dudamel conducts an excerpt from Mahler’s Symphony No. 1 with the Los Angeles Philharmonic,,,
Dudamel,M0Px44IuVKM,,,Gustavo Dudamel / SBSOV Mahler: Symphony No. 2 Mov V (2/2),,,
Dudamel,arACxgu8sRo,,,"Gustavo Dudamel, Wiener Philharmoniker - Adagio for Strings, Op. 11",,,
Dudamel,4geywAF2_iQ,,,Gustavo Dudamel: Danzón N°2 (Orquesta Sinfónica Simón Bolívar) | Lucerne Festival (2/7),,,
Dudamel,EoyRy3FpoFk,2014,,"Gustavo Dudamel: John Williams - Olympic Fanfare and Theme (Walt Disney Concert Hall Gala, 2014)",,,
Dudamel,amSqQ5XNaGE,,,Incredible high school musicians from Venezuela! | Gustavo Dudamel,,,
Dudamel,eZlPSnx_qK4,,,LA Phil & Gustavo Dudamel - Williams: Theme from “Jurassic Park” (Live at Walt Disney Concert Hall),,,
Dudamel,WuncoMFV9Hk,2008,,Leonard Bernstein - Mambo ｜ Berliner Philharmoniker (Waldbühne 2008),,,
Dudamel,Gsl0t6qFie0,,,Mahler symphony 5 - Adagietto - Gustavo Dudamel,,,
Dudamel,-N0s9C63pSo,2009,,"Mahler: Symphony No. 1 ""Titan"" | Gustavo Dudamel | Los Angeles Philharmonic | 2009",,,
Dudamel,bcDCHnAd8N4,,,Stravinsky’s “The Rite of Spring” with Gustavo Dudamel & the LA Phil,,,
Dudamel,xhEGMSOIptw,2017,,The 2017 Vienna Philharmonic New Year's Concert with Gustavo Dudamel,,,
Dudamel,60mRj_9Rybc,,,Verdi - Dies Irae Requiem -  Gustavo Dudamel,,,
Dudamel,WAoLJ8GbA4Y,2019,,"Vienna Philharmonic & Gustavo Dudamel – Barber: Adagio for Strings, Op.11 (SNC 2019)",,,
Dudamel,BxX1obB9GKk,,,"Yuja Wang, Gustavo Dudamel, LA Philharmonic – Rachmaninoff: Piano Concerto No.2: II.Adagio sostenuto",,,
Haitink,44a2kZ72RzY,1973,,Arthur Rubinstein - Beethoven: Piano Concerto No.3 - Concertgebouw Orch. - Bernard Haitink (1973),1973,context,"NARD HAITINK, conductor Filmed at the Concertgebouw, Amsterdam, 27-31 August 197"
Haitink,CjnbUmbHO9o,2013,,"Bartók - Concerto for orchestra BB 123  (Bernard Haitink, 2013)",2013,context,"Bartók - Concerto for orchestra BB 123 (Bernard Haitink, 2013) From the Corum Op"
Haitink,pK_X0QuZuZc,,2013,Bartók : Concerto pour orchestre sous la direction de Bernard Haitink,2013,context,rchestre de Béla Bartók. Enregistré le 21 juillet 2013 au Corum de Montpellier.
Haitink,SRwDdZ7Rlgo,,2009,"Beethoven - Symphony no. 7, I (1/2) - Haitink & Royal Concertgebouw Orchestra",2009,context,s of all time. Enjoy! Recorded on the 12th of March 2009 by AVRO Klassiek for th
Haitink,YmNxqMxZoRk,,2009,"Beethoven - Symphony no. 7, II - Haitink & Royal Concertgebouw Orchestra",2009,context,s of all time. Enjoy! Recorded on the 12th of March 2009 by AVRO Klassiek for th
Haitink,aU9vTFk2HFI,,2009,"Beethoven - Symphony no. 7, III - Haitink & Royal Concertgebouw Orchestra",2009,context,s of all time. Enjoy! Recorded on the 12th of March 2009 by AVRO Klassiek for th
Haitink,n_H6abRmQ_o,,,Beethoven Egmont Overture op 84 Bernard Haitink London Philharmonic,,,
Haitink,wYVvYtg6gVE,,,Beethoven Leonore Overture nr 3 Bernard Haitink LPO,,,
Haitink,pnfhl2TOvUc,,,Beethoven Piano Concerto No 3 C minor Vladimir Ashkenazy Bernard Haitink LPO *RESTORED*,,,
Haitink,CuY7u6C2Yio,,,"Beethoven: Symphony No. 6 ""Pastorale"" / Haitink - Berliner Philharmoniker",2015,context,"erliner Philharmoniker / Recorded at the Berlin Philharmonie, 06 March 2015 The "
Haitink,Rd0HnxWm5CY,,,Beethoven: Symphony No. 7 | Bernard Haitink & the Royal Concertgebouw Orchestra,,,
Haitink,9zuh_was0RA,,,Bernard Haitink & The Chamber Orchestra of Europe: Brahms Symphony no. 2 II Adagio non troppo,,,
Haitink,96YRTgqIrec,,,Bernard Haitink & Wiener Philharmoniker - Farewell Concert at Salzburg Festival,2019,context,moniker gives a farewell concert at the Großes Festspielhaus at Salzburg Festiva
Haitink,PZcfc_0tEDY,,,Bernard Haitink With Martin James Bartlett -  Mozart: Piano Concerto No. 24,2018,context,"Music Amaryllis Fleming Concert Hall (London, Great Britain), on February 2, 201"
Haitink,U9I3G_-LVjg,1975,,Bernard Haitink conducts Shostakovich Symphony no. 10 - video 1975,1975,context,"Symphony no. 10, op. 93, live in Moscow in 1975."
Haitink,Tbtenpm8_Wo,,,Bernard Haitink with Till Fellner - Mozart: Piano Concerto No. 22,2019,context,"ndon, Great Britain), on March 10, 2019. © London Symphony Orch"
Haitink,hRrGY70LT0w,2021,,Bernard Haitink | 4 March 1929 - 21 October 2021,1961,context,s chief conductor of the Concertgebouworkest from 1961 to 1988. In 1999 he was
Haitink,PlvDbgVFbWo,,,Brahms - Ein deutsches Requiem | Bernard Haitink | Chor des BR & BRSO,,,
Haitink,7QLuYj2jxoc,,,"Brahms - Symphony No 4 in E minor, Op 98 - Haitink",,,
Haitink,xibznV5yG7Q,,,Bruckner - Symphony no. 8 - II (1/2)  Haitink & Royal Concertgebouw Orchestra,,,
