conductor,video_id,clip_num,run,run_dir,fps,n_frames,kept_frames,longest_seg_s,disposition,source_verdict,verdict,preview,judged_at
Abbado,0Oo4z37OUEI,9,0Oo4z37OUEI(09)__r00,skeletons/Abbado/0Oo4z37OUEI(09)__r00,25.000,238,238,9.52,keep,,accept,,
Abbado,0T7eMctuJLQ,1,0T7eMctuJLQ(01)__r00,skeletons/Abbado/0T7eMctuJLQ(01)__r00,25.000,303,270,5.72,keep,,accept,,
Abbado,0T7eMctuJLQ,3,0T7eMctuJLQ(03)__r01,skeletons/Abbado/0T7eMctuJLQ(03)__r01,25.000,145,145,5.80,keep,,accept,,
Abbado,0T7eMctuJLQ,3,0T7eMctuJLQ(03)__r02,skeletons/Abbado/0T7eMctuJLQ(03)__r02,25.000,84,84,3.36,keep,,accept,,
Abbado,0T7eMctuJLQ,5,0T7eMctuJLQ(05)__r00,skeletons/Abbado/0T7eMctuJLQ(05)__r00,25.000,57,57,2.28,keep,,accept,,
Abbado,0x5ueaz3D9c,2,0x5ueaz3D9c(02)__r05,skeletons/Abbado/0x5ueaz3D9c(02)__r05,25.000,69,62,2.48,keep,,accept,,
Abbado,0x5ueaz3D9c,2,0x5ueaz3D9c(02)__r06,skeletons/Abbado/0x5ueaz3D9c(02)__r06,25.000,440,412,16.48,keep,,accept,,
Abbado,1Jw6wpNLM9E,2,1Jw6wpNLM9E(02)__r00,skeletons/Abbado/1Jw6wpNLM9E(02)__r00,25.000,176,172,6.88,keep,,accept,,
Abbado,1Jw6wpNLM9E,5,1Jw6wpNLM9E(05)__r00,skeletons/Abbado/1Jw6wpNLM9E(05)__r00,25.000,52,52,2.08,keep,,accept,,
Abbado,1Jw6wpNLM9E,5,1Jw6wpNLM9E(05)__r01,skeletons/Abbado/1Jw6wpNLM9E(05)__r01,25.000,178,178,7.12,keep,,accept,,
Abbado,1Jw6wpNLM9E,7,1Jw6wpNLM9E(07)__r00,skeletons/Abbado/1Jw6wpNLM9E(07)__r00,25.000,218,205,5.20,keep,,accept,,
Abbado,23cLITkT16k,1,23cLITkT16k(01)__r02,skeletons/Abbado/23cLITkT16k(01)__r02,29.970,250,62,2.07,keep,,accept,,
Abbado,23cLITkT16k,1,23cLITkT16k(01)__r03,skeletons/Abbado/23cLITkT16k(01)__r03,29.970,160,160,5.34,keep,,accept,,
Abbado,3Fi8XYhmVOI,1,3Fi8XYhmVOI(01)__r00,skeletons/Abbado/3Fi8XYhmVOI(01)__r00,29.970,198,194,3.27,keep,,accept,,
Abbado,3Fi8XYhmVOI,1,3Fi8XYhmVOI(01)__r01,skeletons/Abbado/3Fi8XYhmVOI(01)__r01,29.970,210,209,6.97,keep,,accept,,
Abbado,3Fi8XYhmVOI,3,3Fi8XYhmVOI(03)__r00,skeletons/Abbado/3Fi8XYhmVOI(03)__r00,29.970,82,82,2.74,keep,,accept,,
Abbado,3Fi8XYhmVOI,3,3Fi8XYhmVOI(03)__r01,skeletons/Abbado/3Fi8XYhmVOI(03)__r01,29.970,86,83,2.77,keep,,accept,,
Abbado,3nihShVyqVE,1,3nihShVyqVE(01)__r00,skeletons/Abbado/3nihShVyqVE(01)__r00,25.000,928,868,34.72,keep,,accept,,
Abbado,3nihShVyqVE,1,3nihShVyqVE(01)__r02,skeletons/Abbado/3nihShVyqVE(01)__r02,25.000,174,172,4.68,keep,,accept,,
Abbado,3pegLWxSBR8,3,3pegLWxSBR8(03)__r00,skeletons/Abbado/3pegLWxSBR8(03)__r00,29.970,268,175,3.10,keep,,accept,,
Abbado,3pegLWxSBR8,4,3pegLWxSBR8(04)__r00,skeletons/Abbado/3pegLWxSBR8(04)__r00,29.970,74,68,2.27,keep,,accept,,
Abbado,4QBeLJYmYkE,1,4QBeLJYmYkE(01)__r00,skeletons/Abbado/4QBeLJYmYkE(01)__r00,29.970,815,815,27.19,keep,,accept,,
Abbado,4QBeLJYmYkE,3,4QBeLJYmYkE(03)__r03,skeletons/Abbado/4QBeLJYmYkE(03)__r03,29.970,462,462,15.42,keep,,accept,,
Abbado,4USr2WgSOuo,6,4USr2WgSOuo(06)__r00,skeletons/Abbado/4USr2WgSOuo(06)__r00,25.000,447,248,2.56,keep,,accept,,
Abbado,4XbHLFkg_Mw,5,4XbHLFkg_Mw(05)__r00,skeletons/Abbado/4XbHLFkg_Mw(05)__r00,29.970,1126,1126,37.57,keep,,accept,,
Abbado,4XbHLFkg_Mw,6,4XbHLFkg_Mw(06)__r00,skeletons/Abbado/4XbHLFkg_Mw(06)__r00,29.970,298,298,9.94,keep,,accept,,
Abbado,4XbHLFkg_Mw,7,4XbHLFkg_Mw(07)__r00,skeletons/Abbado/4XbHLFkg_Mw(07)__r00,29.970,848,835,27.86,keep,,accept,,
Abbado,4dFx0TweiCI,14,4dFx0TweiCI(14)__r00,skeletons/Abbado/4dFx0TweiCI(14)__r00,29.970,223,148,2.67,keep,,accept,,
Abbado,4dFx0TweiCI,22,4dFx0TweiCI(22)__r00,skeletons/Abbado/4dFx0TweiCI(22)__r00,29.970,396,182,4.74,keep,,accept,,
Abbado,4ohJEUZMEfk,5,4ohJEUZMEfk(05)__r00,skeletons/Abbado/4ohJEUZMEfk(05)__r00,29.970,349,315,7.74,keep,,accept,,
Abbado,4ohJEUZMEfk,7,4ohJEUZMEfk(07)__r00,skeletons/Abbado/4ohJEUZMEfk(07)__r00,29.970,195,195,6.51,keep,,accept,,
Abbado,6OZ8pngQePI,1,6OZ8pngQePI(01)__r00,skeletons/Abbado/6OZ8pngQePI(01)__r00,30.000,1036,1036,34.53,keep,,accept,,
Abbado,6OZ8pngQePI,2,6OZ8pngQePI(02)__r00,skeletons/Abbado/6OZ8pngQePI(02)__r00,30.000,295,265,8.83,keep,,accept,,
Abbado,6OZ8pngQePI,3,6OZ8pngQePI(03)__r01,skeletons/Abbado/6OZ8pngQePI(03)__r01,30.000,194,188,6.27,keep,,accept,,
Abbado,6OZ8pngQePI,3,6OZ8pngQePI(03)__r02,skeletons/Abbado/6OZ8pngQePI(03)__r02,30.000,90,65,2.17,keep,,accept,,
Abbado,7howhcXJFq4,1,7howhcXJFq4(01)__r01,skeletons/Abbado/7howhcXJFq4(01)__r01,25.000,72,72,2.88,keep,,accept,,
Abbado,7howhcXJFq4,2,7howhcXJFq4(02)__r00,skeletons/Abbado/7howhcXJFq4(02)__r00,25.000,64,52,2.08,keep,,accept,,
Abbado,7howhcXJFq4,2,7howhcXJFq4(02)__r01,skeletons/Abbado/7howhcXJFq4(02)__r01,25.000,190,190,7.60,keep,,accept,,
Abbado,81AFdWXLNCU,1,81AFdWXLNCU(01)__r00,skeletons/Abbado/81AFdWXLNCU(01)__r00,29.970,154,154,5.14,keep,,accept,,
Abbado,81AFdWXLNCU,3,81AFdWXLNCU(03)__r00,skeletons/Abbado/81AFdWXLNCU(03)__r00,29.970,348,348,11.61,keep,,accept,,
Abbado,81AFdWXLNCU,4,81AFdWXLNCU(04)__r00,skeletons/Abbado/81AFdWXLNCU(04)__r00,29.970,175,175,5.84,keep,,accept,,
Abbado,8AXxjU9mlyQ,2,8AXxjU9mlyQ(02)__r00,skeletons/Abbado/8AXxjU9mlyQ(02)__r00,25.000,160,160,6.40,keep,,accept,,
Abbado,8NdeNCsF2K8,1,8NdeNCsF2K8(01)__r00,skeletons/Abbado/8NdeNCsF2K8(01)__r00,25.000,174,167,4.00,keep,,accept,,
Abbado,8NdeNCsF2K8,4,8NdeNCsF2K8(04)__r00,skeletons/Abbado/8NdeNCsF2K8(04)__r00,25.000,139,139,5.56,keep,,accept,,
Abbado,9U3tja1CmCw,2,9U3tja1CmCw(02)__r00,skeletons/Abbado/9U3tja1CmCw(02)__r00,25.000,466,466,18.64,keep,,accept,,
Abbado,9U3tja1CmCw,3,9U3tja1CmCw(03)__r00,skeletons/Abbado/9U3tja1CmCw(03)__r00,25.000,349,286,4.56,keep,,accept,,
Abbado,9U3tja1CmCw,4,9U3tja1CmCw(04)__r00,skeletons/Abbado/9U3tja1CmCw(04)__r00,25.000,90,88,3.52,keep,,accept,,
Abbado,A6QoP6-bnR8,1,A6QoP6-bnR8(01)__r00,skeletons/Abbado/A6QoP6-bnR8(01)__r00,25.000,699,531,10.48,keep,,accept,,
Abbado,AF1YYXDHkzc,3,AF1YYXDHkzc(03)__r00,skeletons/Abbado/AF1YYXDHkzc(03)__r00,25.000,128,128,5.12,keep,,accept,,
Abbado,AF1YYXDHkzc,9,AF1YYXDHkzc(09)__r00,skeletons/Abbado/AF1YYXDHkzc(09)__r00,25.000,142,142,5.68,keep,,accept,,
Abbado,AUnKeRz5n0c,1,AUnKeRz5n0c(01)__r00,skeletons/Abbado/AUnKeRz5n0c(01)__r00,25.000,302,302,12.08,keep,,accept,,
Abbado,AUnKeRz5n0c,2,AUnKeRz5n0c(02)__r00,skeletons/Abbado/AUnKeRz5n0c(02)__r00,25.000,215,109,2.08,keep,,accept,,
Abbado,AUnKeRz5n0c,3,AUnKeRz5n0c(03)__r00,skeletons/Abbado/AUnKeRz5n0c(03)__r00,25.000,259,224,5.32,keep,,accept,,
Abbado,AUnKeRz5n0c,4,AUnKeRz5n0c(04)__r00,skeletons/Abbado/AUnKeRz5n0c(04)__r00,25.000,188,170,6.80,keep,,accept,,
Abbado,AiwhbZf3oZM,3,AiwhbZf3oZM(03)__r00,skeletons/Abbado/AiwhbZf3oZM(03)__r00,29.970,99,98,3.27,keep,,accept,,
Abbado,AiwhbZf3oZM,5,AiwhbZf3oZM(05)__r00,skeletons/Abbado/AiwhbZf3oZM(05)__r00,29.970,689,659,17.35,keep,,accept,,
Abbado,AiwhbZf3oZM,8,AiwhbZf3oZM(08)__r00,skeletons/Abbado/AiwhbZf3oZM(08)__r00,29.970,609,603,15.02,keep,,accept,,
Abbado,AiwhbZf3oZM,10,AiwhbZf3oZM(10)__r00,skeletons/Abbado/AiwhbZf3oZM(10)__r00,29.970,453,451,12.75,keep,,accept,,
Abbado,D_JyDU1423Y,5,D_JyDU1423Y(05)__r00,skeletons/Abbado/D_JyDU1423Y(05)__r00,25.000,138,136,4.36,keep,,accept,,
Abbado,D_JyDU1423Y,6,D_JyDU1423Y(06)__r00,skeletons/Abbado/D_JyDU1423Y(06)__r00,25.000,99,93,3.72,keep,,accept,,
Abbado,D_JyDU1423Y,6,D_JyDU1423Y(06)__r01,skeletons/Abbado/D_JyDU1423Y(06)__r01,25.000,56,56,2.24,keep,,accept,,
Abbado,GmX0UbZlqZk,2,GmX0UbZlqZk(02)__r00,skeletons/Abbado/GmX0UbZlqZk(02)__r00,25.000,260,189,3.36,keep,,accept,,
Abbado,GmX0UbZlqZk,10,GmX0UbZlqZk(10)__r00,skeletons/Abbado/GmX0UbZlqZk(10)__r00,25.000,216,175,3.92,keep,,accept,,
Abbado,GmX0UbZlqZk,103,GmX0UbZlqZk(103)__r00,skeletons/Abbado/GmX0UbZlqZk(103)__r00,25.000,119,119,4.76,keep,,accept,,
Abbado,Hon8xK1OjUQ,2,Hon8xK1OjUQ(02)__r01,skeletons/Abbado/Hon8xK1OjUQ(02)__r01,25.000,147,147,5.88,keep,,accept,,
Abbado,I6OjCv5lG6s,1,I6OjCv5lG6s(01)__r00,skeletons/Abbado/I6OjCv5lG6s(01)__r00,25.000,429,424,15.84,keep,,accept,,
Abbado,IzS4KmEqUpE,1,IzS4KmEqUpE(01)__r00,skeletons/Abbado/IzS4KmEqUpE(01)__r00,25.000,68,64,2.56,keep,,accept,,
Abbado,K1BHmPhZwpY,6,K1BHmPhZwpY(06)__r00,skeletons/Abbado/K1BHmPhZwpY(06)__r00,29.970,92,92,3.07,keep,,accept,,
Abbado,K1BHmPhZwpY,6,K1BHmPhZwpY(06)__r01,skeletons/Abbado/K1BHmPhZwpY(06)__r01,29.970,177,144,4.80,keep,,accept,,
Abbado,K1BHmPhZwpY,8,K1BHmPhZwpY(08)__r00,skeletons/Abbado/K1BHmPhZwpY(08)__r00,29.970,210,186,2.80,keep,,accept,,
Abbado,KcnBPqOddSM,1,KcnBPqOddSM(01)__r00,skeletons/Abbado/KcnBPqOddSM(01)__r00,25.000,322,322,12.88,keep,,accept,,
Abbado,KcnBPqOddSM,2,KcnBPqOddSM(02)__r00,skeletons/Abbado/KcnBPqOddSM(02)__r00,25.000,285,285,9.80,keep,,accept,,
Abbado,KcnBPqOddSM,3,KcnBPqOddSM(03)__r00,skeletons/Abbado/KcnBPqOddSM(03)__r00,25.000,236,236,9.44,keep,,accept,,
Abbado,KcnBPqOddSM,3,KcnBPqOddSM(03)__r01,skeletons/Abbado/KcnBPqOddSM(03)__r01,25.000,73,73,2.92,keep,,accept,,
Abbado,O-D7bBpuzLs,2,O-D7bBpuzLs(02)__r00,skeletons/Abbado/O-D7bBpuzLs(02)__r00,25.000,129,104,4.16,keep,,accept,,
Abbado,P13jkI_KjPE,3,P13jkI_KjPE(03)__r00,skeletons/Abbado/P13jkI_KjPE(03)__r00,29.970,62,62,2.07,keep,,accept,,
Abbado,QAMxkietiik,5,QAMxkietiik(05)__r00,skeletons/Abbado/QAMxkietiik(05)__r00,25.000,166,166,6.64,keep,,accept,,
Abbado,QAMxkietiik,8,QAMxkietiik(08)__r00,skeletons/Abbado/QAMxkietiik(08)__r00,25.000,73,73,2.92,keep,,accept,,
Abbado,QAMxkietiik,8,QAMxkietiik(08)__r01,skeletons/Abbado/QAMxkietiik(08)__r01,25.000,76,76,3.04,keep,,accept,,
Abbado,QTcc0eNyHug,4,QTcc0eNyHug(04)__r00,skeletons/Abbado/QTcc0eNyHug(04)__r00,25.000,211,211,8.44,keep,,accept,,
Abbado,QTcc0eNyHug,4,QTcc0eNyHug(04)__r01,skeletons/Abbado/QTcc0eNyHug(04)__r01,25.000,95,95,3.80,keep,,accept,,
Abbado,QTcc0eNyHug,6,QTcc0eNyHug(06)__r03,skeletons/Abbado/QTcc0eNyHug(06)__r03,25.000,95,95,3.80,keep,,accept,,
Abbado,QVoviGYThxw,3,QVoviGYThxw(03)__r00,skeletons/Abbado/QVoviGYThxw(03)__r00,25.000,178,139,4.52,keep,,accept,,
Abbado,QdxvC7NNSLQ,4,QdxvC7NNSLQ(04)__r00,skeletons/Abbado/QdxvC7NNSLQ(04)__r00,29.970,213,213,7.11,keep,,accept,,
Abbado,QydpBLUyx6c,1,QydpBLUyx6c(01)__r00,skeletons/Abbado/QydpBLUyx6c(01)__r00,25.000,182,182,7.28,keep,,accept,,
Abbado,QydpBLUyx6c,3,QydpBLUyx6c(03)__r00,skeletons/Abbado/QydpBLUyx6c(03)__r00,25.000,173,173,6.92,keep,,accept,,
Abbado,QydpBLUyx6c,4,QydpBLUyx6c(04)__r00,skeletons/Abbado/QydpBLUyx6c(04)__r00,25.000,63,63,2.52,keep,,accept,,
Abbado,QydpBLUyx6c,4,QydpBLUyx6c(04)__r01,skeletons/Abbado/QydpBLUyx6c(04)__r01,25.000,59,59,2.36,keep,,accept,,
Abbado,RbLlA4Ee4hU,1,RbLlA4Ee4hU(01)__r00,skeletons/Abbado/RbLlA4Ee4hU(01)__r00,25.000,81,81,3.24,keep,,accept,,
Abbado,RbLlA4Ee4hU,2,RbLlA4Ee4hU(02)__r00,skeletons/Abbado/RbLlA4Ee4hU(02)__r00,25.000,53,53,2.12,keep,,accept,,
Abbado,RbLlA4Ee4hU,4,RbLlA4Ee4hU(04)__r00,skeletons/Abbado/RbLlA4Ee4hU(04)__r00,25.000,91,91,3.64,keep,,accept,,
Abbado,RbLlA4Ee4hU,7,RbLlA4Ee4hU(07)__r00,skeletons/Abbado/RbLlA4Ee4hU(07)__r00,25.000,152,152,6.08,keep,,accept,,
Abbado,SExR2h20HlQ,1,SExR2h20HlQ(01)__r00,skeletons/Abbado/SExR2h20HlQ(01)__r00,29.970,183,183,4.10,keep,,accept,,
Abbado,SExR2h20HlQ,2,SExR2h20HlQ(02)__r00,skeletons/Abbado/SExR2h20HlQ(02)__r00,29.970,167,167,5.57,keep,,accept,,
Abbado,SgSNgzA37To,1,SgSNgzA37To(01)__r00,skeletons/Abbado/SgSNgzA37To(01)__r00,29.970,539,532,11.95,keep,,accept,,
Abbado,SgSNgzA37To,2,SgSNgzA37To(02)__r00,skeletons/Abbado/SgSNgzA37To(02)__r00,29.970,85,84,2.80,keep,,accept,,
Abbado,SgSNgzA37To,3,SgSNgzA37To(03)__r00,skeletons/Abbado/SgSNgzA37To(03)__r00,29.970,142,142,4.74,keep,,accept,,
Abbado,SgSNgzA37To,5,SgSNgzA37To(05)__r00,skeletons/Abbado/SgSNgzA37To(05)__r00,29.970,199,198,6.61,keep,,accept,,
Abbado,T4Zxjk7eYS4,7,T4Zxjk7eYS4(07)__r02,skeletons/Abbado/T4Zxjk7eYS4(07)__r02,25.000,175,144,5.76,keep,,accept,,
Abbado,T4Zxjk7eYS4,10,T4Zxjk7eYS4(10)__r00,skeletons/Abbado/T4Zxjk7eYS4(10)__r00,25.000,250,202,3.92,keep,,accept,,
Abbado,TzJyIWxjX9o,2,TzJyIWxjX9o(02)__r00,skeletons/Abbado/TzJyIWxjX9o(02)__r00,29.970,217,216,7.21,keep,,accept,,
Abbado,TzJyIWxjX9o,5,TzJyIWxjX9o(05)__r00,skeletons/Abbado/TzJyIWxjX9o(05)__r00,29.970,132,131,4.37,keep,,accept,,
Abbado,TzJyIWxjX9o,9,TzJyIWxjX9o(09)__r00,skeletons/Abbado/TzJyIWxjX9o(09)__r00,29.970,81,81,2.70,keep,,accept,,
Abbado,V4bCIECG1WU,3,V4bCIECG1WU(03)__r00,skeletons/Abbado/V4bCIECG1WU(03)__r00,25.000,64,64,2.56,keep,,accept,,
Abbado,WLP6kqcmPRI,1,WLP6kqcmPRI(01)__r00,skeletons/Abbado/WLP6kqcmPRI(01)__r00,25.000,572,480,9.48,keep,,accept,,
Abbado,WLP6kqcmPRI,1,WLP6kqcmPRI(01)__r01,skeletons/Abbado/WLP6kqcmPRI(01)__r01,25.000,135,135,5.40,keep,,accept,,
Abbado,X60OGd4co-Y,1,X60OGd4co-Y(01)__r00,skeletons/Abbado/X60OGd4co-Y(01)__r00,25.000,178,166,6.64,keep,,accept,,
Abbado,YgIrf_zTJco,5,YgIrf_zTJco(05)__r00,skeletons/Abbado/YgIrf_zTJco(05)__r00,25.000,416,307,10.08,keep,,accept,,
Abbado,YnfhInZLmUQ,1,YnfhInZLmUQ(01)__r00,skeletons/Abbado/YnfhInZLmUQ(01)__r00,29.970,310,281,5.34,keep,,accept,,
Abbado,YnfhInZLmUQ,2,YnfhInZLmUQ(02)__r01,skeletons/Abbado/YnfhInZLmUQ(02)__r01,29.970,70,70,2.34,keep,,accept,,
Abbado,YnfhInZLmUQ,7,YnfhInZLmUQ(07)__r00,skeletons/Abbado/YnfhInZLmUQ(07)__r00,29.970,126,110,3.67,keep,,accept,,
Abbado,YnfhInZLmUQ,8,YnfhInZLmUQ(08)__r00,skeletons/Abbado/YnfhInZLmUQ(08)__r00,29.970,288,286,9.54,keep,,accept,,
Abbado,ZyQmdXnv3Pg,2,ZyQmdXnv3Pg(02)__r00,skeletons/Abbado/ZyQmdXnv3Pg(02)__r00,25.000,94,94,3.76,keep,,accept,,
Abbado,ZyQmdXnv3Pg,3,ZyQmdXnv3Pg(03)__r00,skeletons/Abbado/ZyQmdXnv3Pg(03)__r00,25.000,158,158,6.32,keep,,accept,,
Abbado,ZyQmdXnv3Pg,4,ZyQmdXnv3Pg(04)__r00,skeletons/Abbado/ZyQmdXnv3Pg(04)__r00,25.000,64,64,2.56,keep,,accept,,
Abbado,ZyQmdXnv3Pg,4,ZyQmdXnv3Pg(04)__r01,skeletons/Abbado/ZyQmdXnv3Pg(04)__r01,25.000,58,58,2.32,keep,,accept,,
Abbado,a7VdBXeRhdA,5,a7VdBXeRhdA(05)__r00,skeletons/Abbado/a7VdBXeRhdA(05)__r00,29.970,327,303,10.11,keep,,accept,,
Abbado,d-VkDduh3ZQ,1,d-VkDduh3ZQ(01)__r00,skeletons/Abbado/d-VkDduh3ZQ(01)__r00,30.000,74,74,2.47,keep,,accept,,
Abbado,dPYhMekVRe4,1,dPYhMekVRe4(01)__r00,skeletons/Abbado/dPYhMekVRe4(01)__r00,29.970,214,214,7.14,keep,,accept,,
Abbado,dPYhMekVRe4,8,dPYhMekVRe4(08)__r00,skeletons/Abbado/dPYhMekVRe4(08)__r00,29.970,319,319,10.64,keep,,accept,,
Abbado,dPYhMekVRe4,9,dPYhMekVRe4(09)__r00,skeletons/Abbado/dPYhMekVRe4(09)__r00,29.970,449,429,10.54,keep,,accept,,
Abbado,f2LLIXxWKJo,2,f2LLIXxWKJo(02)__r00,skeletons/Abbado/f2LLIXxWKJo(02)__r00,25.000,204,204,8.16,keep,,accept,,
Abbado,f2LLIXxWKJo,4,f2LLIXxWKJo(04)__r00,skeletons/Abbado/f2LLIXxWKJo(04)__r00,25.000,187,187,7.48,keep,,accept,,
Abbado,f2LLIXxWKJo,9,f2LLIXxWKJo(09)__r00,skeletons/Abbado/f2LLIXxWKJo(09)__r00,25.000,69,69,2.76,keep,,accept,,
Abbado,f2LLIXxWKJo,9,f2LLIXxWKJo(09)__r01,skeletons/Abbado/f2LLIXxWKJo(09)__r01,25.000,142,140,3.28,keep,,accept,,
Abbado,f8tH7lGIQa0,1,f8tH7lGIQa0(01)__r03,skeletons/Abbado/f8tH7lGIQa0(01)__r03,29.970,134,119,2.34,keep,,accept,,
Abbado,f8tH7lGIQa0,14,f8tH7lGIQa0(14)__r00,skeletons/Abbado/f8tH7lGIQa0(14)__r00,29.970,85,67,2.24,keep,,accept,,
Abbado,f8tH7lGIQa0,17,f8tH7lGIQa0(17)__r01,skeletons/Abbado/f8tH7lGIQa0(17)__r01,29.970,123,77,2.57,keep,,accept,,
Abbado,gIgqeA76cdU,19,gIgqeA76cdU(19)__r00,skeletons/Abbado/gIgqeA76cdU(19)__r00,25.000,214,60,2.40,keep,,accept,,
Abbado,gldZR3Bo46g,2,gldZR3Bo46g(02)__r00,skeletons/Abbado/gldZR3Bo46g(02)__r00,29.970,101,101,3.37,keep,,accept,,
Abbado,gldZR3Bo46g,6,gldZR3Bo46g(06)__r01,skeletons/Abbado/gldZR3Bo46g(06)__r01,29.970,145,145,4.84,keep,,accept,,
Abbado,gldZR3Bo46g,7,gldZR3Bo46g(07)__r00,skeletons/Abbado/gldZR3Bo46g(07)__r00,29.970,210,158,3.40,keep,,accept,,
Abbado,iwZF0JIRFqA,2,iwZF0JIRFqA(02)__r00,skeletons/Abbado/iwZF0JIRFqA(02)__r00,25.000,97,85,3.40,keep,,accept,,
Abbado,iwZF0JIRFqA,5,iwZF0JIRFqA(05)__r00,skeletons/Abbado/iwZF0JIRFqA(05)__r00,25.000,132,132,5.28,keep,,accept,,
Abbado,iwZF0JIRFqA,7,iwZF0JIRFqA(07)__r00,skeletons/Abbado/iwZF0JIRFqA(07)__r00,25.000,237,237,9.48,keep,,accept,,
Abbado,iwZF0JIRFqA,11,iwZF0JIRFqA(11)__r00,skeletons/Abbado/iwZF0JIRFqA(11)__r00,25.000,97,97,3.88,keep,,accept,,
Abbado,j8cHeS6ukx0,1,j8cHeS6ukx0(01)__r00,skeletons/Abbado/j8cHeS6ukx0(01)__r00,25.000,169,165,3.80,keep,,accept,,
Abbado,k7CasxTo-Go,9,k7CasxTo-Go(09)__r00,skeletons/Abbado/k7CasxTo-Go(09)__r00,30.000,144,74,2.47,keep,,accept,,
Abbado,k7CasxTo-Go,9,k7CasxTo-Go(09)__r01,skeletons/Abbado/k7CasxTo-Go(09)__r01,30.000,82,82,2.73,keep,,accept,,
Abbado,k7CasxTo-Go,10,k7CasxTo-Go(10)__r00,skeletons/Abbado/k7CasxTo-Go(10)__r00,30.000,79,79,2.63,keep,,accept,,
Abbado,lmJfL8FUThQ,33,lmJfL8FUThQ(33)__r00,skeletons/Abbado/lmJfL8FUThQ(33)__r00,29.970,116,116,2.54,keep,,accept,,
Abbado,lmJfL8FUThQ,37,lmJfL8FUThQ(37)__r00,skeletons/Abbado/lmJfL8FUThQ(37)__r00,29.970,217,163,2.50,keep,,accept,,
Abbado,mhYCaQkbkyw,3,mhYCaQkbkyw(03)__r00,skeletons/Abbado/mhYCaQkbkyw(03)__r00,25.000,199,171,4.24,keep,,accept,,
Abbado,msbZuhrNiEo,4,msbZuhrNiEo(04)__r00,skeletons/Abbado/msbZuhrNiEo(04)__r00,25.000,58,58,2.32,keep,,accept,,
Abbado,msbZuhrNiEo,4,msbZuhrNiEo(04)__r01,skeletons/Abbado/msbZuhrNiEo(04)__r01,25.000,91,91,3.64,keep,,accept,,
Abbado,msbZuhrNiEo,5,msbZuhrNiEo(05)__r00,skeletons/Abbado/msbZuhrNiEo(05)__r00,25.000,176,176,7.04,keep,,accept,,
Abbado,n-yWCUgTMMY,1,n-yWCUgTMMY(01)__r00,skeletons/Abbado/n-yWCUgTMMY(01)__r00,24.000,651,651,27.12,keep,,accept,,
Abbado,n-yWCUgTMMY,1,n-yWCUgTMMY(01)__r02,skeletons/Abbado/n-yWCUgTMMY(01)__r02,24.000,368,355,14.79,keep,,accept,,
